URL, Size, Number of Outlinks, Conytent-Type
https://www.nytimes.com/2017/07/24/health/ticks-disease-united-states.html, 100417, 122, text/html
https://www.nytimes.com/by/stephanie-rosenbloom, 115250, 124, text/html
https://www.nytimes.com/2017/07/29/style/alisyn-camerota-fox-news-roger-ailes.html, 95692, 114, text/html
https://www.nytimes.com/2017/06/19/travel/long-term-travel-tips-budget-insurance.html?rref=collection%2Fcolumn%2FThe%20Getaway, 95600, 132, text/html
https://www.nytimes.com/2017/07/29/insider/claire-smith-first-woman-baseball-reporter-hall-of-fame-spink-award.html, 81718, 96, text/html
https://www.nytimes.com/2017/07/27/us/boy-scouts-trump-apology.html, 90250, 112, text/html
https://www.nytimes.com/2017/07/28/arts/television/james-van-der-beek-diplo-viceland.html, 86033, 111, text/html
https://www.nytimes.com/video/us/politics/100000005319934/the-republican-women-behind-the-vote.html, 182291, 75, text/html
https://www.nytimes.com/column/the-getaway, 109350, 124, text/html
https://www.nytimes.com/2017/07/29/us/politics/trump-urges-end-of-filibuster-to-pass-health-bill-which-failed-without-it.html, 95849, 123, text/html
https://www.nytimes.com/2017/07/28/nyregion/why-outside-groups-arent-spending-in-the-new-york-mayors-race.html, 93425, 106, text/html
https://www.nytimes.com/2017/06/26/travel/summer-travel-vacation-guide-airports.html?rref=collection%2Fcolumn%2FThe%20Getaway, 95072, 141, text/html
https://www.nytimes.com/times-journeys/?utm_campaign=NYT-HP&utm_content=hp_browsetree&utm_medium=HPLink&utm_source=nytimes, 301865, 76, text/html
https://www.nytimes.com/2017/07/28/us/politics/scaramucci-interview-skinny-repeal.html, 89067, 124, text/html
https://www.nytimes.com/2017/07/29/insider/good-example-of-profanity-use-stepping-on-a-lego-brick.html, 91129, 114, text/html
https://www.nytimes.com/section/politics, 126282, 138, text/html
https://www.nytimes.com/video/arts, 187050, 69, text/html
https://www.nytimes.com/2017/07/10/travel/meet-your-next-travel-agent-diy-artificial-intelligence.html?rref=collection%2Fcolumn%2FThe%20Getaway, 89530, 108, text/html
https://www.nytimes.com/2017/07/25/travel/bears-ears-utah-politics-trump-national-monument.html, 112864, 124, text/html
https://www.nytimes.com/2017/07/29/world/africa/africa-climate-change-kenya-land-disputes.html, 123636, 107, text/html
https://www.nytimes.com/2017/07/17/travel/long-haul-fares-on-new-low-cost-airlines.html?rref=collection%2Fcolumn%2FThe%20Getaway, 89780, 110, text/html
https://www.nytimes.com/watching/titles/the-zen-of-bennett, 81360, 22, text/html
https://www.nytimes.com/2017/07/25/t-magazine/paris-best-macarons-guide-pierre-herme-laduree-marcolini.html, 571956, 107, text/html
https://www.nytimes.com/section/arts/television, 139388, 155, text/html
https://www.nytimes.com/2017/07/25/insider/what-were-reading.html?rref=collection%2Fsectioncollection%2FTimes%20Insider, 81865, 116, text/html
https://www.nytimes.com/2017/06/01/dining/wine-school-riesling-spatlese.html?rref=collection%2Fcolumn%2FWine%20School, 106361, 121, text/html
https://www.nytimes.com/trending/, 42979, 82, text/html
https://www.nytimes.com/2017/07/27/theater/the-bubbly-black-girl-sheds-her-chameleon-skin-review.html, 99688, 119, text/html
https://www.nytimes.com/2017/07/28/insider/what-were-reading.html, 82632, 116, text/html
https://www.nytimes.com/watching/recommendations/watching-film-gimme-the-loot, 89923, 28, text/html
https://www.nytimes.com/2017/07/28/insider/what-were-reading.html?rref=collection%2Fsectioncollection%2FTimes%20Insider, 82632, 117, text/html
https://www.nytimes.com/2017/07/28/us/politics/john-mccain-health-care-senate-collapse-skinny.html, 120153, 125, text/html
https://www.nytimes.com/watching/titles/tropic-thunder, 82185, 23, text/html
https://www.nytimes.com/2017/07/28/opinion/the-russians-were-involved-but-it-wasnt-about-collusion.html, 93265, 105, text/html
https://www.nytimes.com/video/the-daily-360, 274080, 75, text/html
https://www.nytimes.com/2014/05/07/dining/the-sancerre-moment.html, 117881, 122, text/html
https://www.nytimes.com/watching/recommendations/watching-film-exit-through-the-gift-shop, 91320, 31, text/html
https://www.nytimes.com/2017/07/28/opinion/why-ousting-nawaz-sharif-sets-a-dangerous-precedent-for-pakistan.html, 92883, 119, text/html
https://www.nytimes.com/pages/opinion/index.html, 240107, 398, text/html
https://www.nytimes.com/by/david-w-dunlap, 117010, 127, text/html
https://www.nytimes.com/watching/titles/your-sisters-sister, 81381, 22, text/html
https://www.nytimes.com/column/wine-school, 106534, 120, text/html
https://www.nytimes.com/2017/07/27/watching/movies-leaving-netflix-august.html, 109624, 35, text/html
https://www.nytimes.com/watching/titles/2-days-in-new-york, 81828, 23, text/html
https://www.nytimes.com/2017/06/29/dining/wine-school-thirst-quenchers-vin-de-soif-quaffer.html?rref=collection%2Fcolumn%2FWine%20School, 105076, 119, text/html
https://www.nytimes.com/2017/07/29/insider/good-example-of-profanity-use-stepping-on-a-lego-brick.html?rref=collection%2Fsectioncollection%2FTimes%20Insider, 91129, 115, text/html
https://www.nytimes.com/2017/04/03/well/live/turning-negative-thinkers-into-positive-ones.html, 90495, 109, text/html
https://www.nytimes.com/2017/07/29/insider/claire-smith-first-woman-baseball-reporter-hall-of-fame-spink-award.html?rref=collection%2Fsectioncollection%2FTimes%20Insider, 81718, 97, text/html
https://www.nytimes.com/2017/07/27/dining/wine-school-assignment-godello-spain.html?rref=collection%2Fcolumn%2FWine%20School, 86827, 106, text/html
https://www.nytimes.com/watching/recommendations/watching-film-weekend, 90349, 30, text/html
https://www.nytimes.com/2017/04/03/well/live/turning-negative-thinkers-into-positive-ones.html?hp&target=comments, 90495, 110, text/html
https://www.nytimes.com/watching/titles/begin-again, 81575, 22, text/html
https://www.nytimes.com/2017/06/01/dining/wine-school-assignment-thirst-quenchers-vin-de-soif-quaffer.html?rref=collection%2Fcolumn%2FWine%20School, 88572, 104, text/html
https://www.nytimes.com/2017/07/26/insider/a-photographer-captures-the-hellish-battle-of-messines.html?rref=collection%2Fsectioncollection%2FTimes%20Insider, 83023, 113, text/html
https://www.nytimes.com/2017/07/28/nyregion/explosion-package-queens.html, 82763, 104, text/html
https://www.nytimes.com/2017/04/04/us/trump-police-unions-obama-justice-department-doj.html, 100519, 115, text/html
https://www.nytimes.com/2017/06/29/dining/wine-school-assignment-new-zealand-sauvignon-blanc.html, 94954, 111, text/html
https://www.nytimes.com/2017/07/24/watching/stranger-things-season-2-trailer.html, 90492, 30, text/html
https://www.nytimes.com/2017/07/28/arts/music/opera-in-attica-bringing-arias-to-a-maximum-security-prison.html, 91798, 108, text/html
https://www.nytimes.com/watching/titles/castlevania, 89643, 28, text/html
https://www.nytimes.com/by/eric-asimov, 122903, 122, text/html
https://www.nytimes.com/2017/07/12/nyregion/ms-13-murders-long-island.html, 109028, 110, text/html
https://www.nytimes.com/2017/07/29/health/aca-obamacare-repeal-how-to-fix-health-care.html, 105825, 130, text/html
https://www.nytimes.com/2017/02/12/us/police-chiefs-trump-law-enforcement-priorities.html, 99004, 116, text/html
https://www.nytimes.com/column/wine-school?8qa, 106534, 121, text/html
https://www.nytimes.com/2017/07/14/watching/emmy-nominated-shows-where-to-stream.html, 175849, 72, text/html
https://www.nytimes.com/2017/07/27/health/obamacare-repeal-healthcare-anxiety.html, 106615, 118, text/html
https://www.nytimes.com/watching/titles/lovely-and-amazing, 90311, 34, text/html
https://www.nytimes.com/2017/06/29/dining/wine-school-assignment-new-zealand-sauvignon-blanc.html?_r=0&ref=dining, 94954, 112, text/html
https://www.nytimes.com/2016/11/03/nyregion/james-burke-ex-suffolk-county-police-chief-is-sentenced.html, 92138, 103, text/html
https://www.nytimes.com/video/science/100000005307409/life-on-mars-virtual-reality-isolation.html, 358884, 83, text/html
https://www.nytimes.com/2017/07/29/opinion/sunday/texas-childbirth-maternal-mortality.html, 127024, 117, text/html
https://www.nytimes.com/2017/06/29/dining/wine-school-assignment-new-zealand-sauvignon-blanc.html?rref=collection%2Fcolumn%2FWine%20School, 94954, 112, text/html
https://www.nytimes.com/watching/titles/win-it-all, 81504, 23, text/html
https://www.nytimes.com/content/help/rights/sale/terms-of-sale.html, 23535, 36, text/html
https://www.nytimes.com/video/us/politics/100000005320670/trump-to-police-please-dont-be-too-nice.html, 189333, 83, text/html
https://www.nytimes.com/2017/07/20/watching/christopher-nolan-movies-streaming.html, 141591, 51, text/html
https://www.nytimes.com/by/ross-douthat, 113777, 127, text/html
https://www.nytimes.com/2017/07/28/upshot/why-health-care-policy-is-so-hard.html, 99342, 122, text/html
https://www.nytimes.com/section/fashion, 192741, 195, text/html
https://www.nytimes.com/column/ross-douthat, 106869, 125, text/html
https://www.nytimes.com/watching/titles/man-up, 81010, 22, text/html
https://www.nytimes.com/2017/07/29/world/africa/africa-climate-change-kenya-land-disputes.html?target=comments, 123636, 108, text/html
https://www.nytimes.com/video/us/politics/100000005320670/trump-to-police-please-dont-be-too-nice.html?action=click&contentCollection=us&module=lede&pgtype=article&region=caption, 189333, 83, text/html
https://www.nytimes.com/section/magazine, 133691, 145, text/html
https://www.nytimes.com/2017/07/25/movies/charlize-therons-sick-work-ethic-atomic-blonde.html, 103080, 121, text/html
https://www.nytimes.com/watching/titles/the-man-who-knew-too-much-56, 82147, 23, text/html
https://www.nytimes.com/2017/07/11/opinion/trump-russia-collusion.html?rref=collection%2Fcolumn%2FRoss%20Douthat, 88155, 108, text/html
https://www.nytimes.com/2017/07/29/sports/baseball/when-cooperstown-almost-changed-from-museum-to-mausoleum.html, 84957, 96, text/html
https://www.nytimes.com/2017/07/29/technology/china-apple-censorhip.html, 82129, 99, text/html
https://www.nytimes.com/2017/07/26/opinion/donald-trump-jeff-sessions.html?rref=collection%2Fcolumn%2FRoss%20Douthat, 90041, 112, text/html
https://www.nytimes.com/watching/titles/already-tomorrow-in-hong-kong, 82520, 23, text/html
https://www.nytimes.com/2017/07/28/opinion/the-day-nixon-began-his-comeback.html, 95160, 103, text/html
https://www.nytimes.com/2016/11/03/nyregion/james-burke-ex-suffolk-county-police-chief-is-sentenced.html?_r=1, 92138, 104, text/html
https://www.nytimes.com/2017/07/29/style/jenny-allen-ovarian-cancer-memoir.html, 101311, 115, text/html
https://www.nytimes.com/2017/03/08/opinion/why-republicans-cant-do-health-care.html?_r=0, 89235, 114, text/html
https://www.nytimes.com/2017/07/29/world/americas/venezuela-nicolas-maduro-constituent-assembly.html, 110495, 118, text/html
https://www.nytimes.com/section/upshot, 137215, 142, text/html
https://www.nytimes.com/2017/07/22/opinion/sunday/charlie-gard-and-the-experts.html?rref=collection%2Fcolumn%2FRoss%20Douthat, 86863, 114, text/html
https://www.nytimes.com/watching/lists/best-action-comedies-netflix-streaming, 119899, 43, text/html
https://www.nytimes.com/section/insider, 133529, 143, text/html
https://www.nytimes.com/2017/07/28/us/politics/trump-immigration-gangs.html, 85035, 105, text/html
https://www.nytimes.com/2017/07/29/business/energy-environment/vermont-green-mountain-power-grid.html, 96157, 111, text/html
https://www.nytimes.com/2017/07/27/watching/what-to-watch-this-weekend.html, 93595, 26, text/html
https://www.nytimes.com/2016/09/21/opinion/campaign-stops/clintons-samantha-bee-problem.html, 85350, 110, text/html
https://www.nytimes.com/section/obituaries, 139832, 154, text/html
https://www.nytimes.com/2017/07/15/opinion/sunday/pope-francis-next-act.html?rref=collection%2Fcolumn%2FRoss%20Douthat, 89622, 125, text/html
